Listing Id,Website,Name,Price,Price Type Tag,Bed,Bath,SQFT,PSF ($),Address,Google Map Link,Area Code,Nearby Stations,Furnishing,TOP,Floor Level,Currently Tenanted,Maintenance Fee,House features,Loan Amount,Upfront Cost,Interst Rate Applied,Monthly Mortgage (2%),Monthly Mortgage,Monthly Principal,Monthly Interest,Avg Rental,Rental Yield,Cashflow,Profitable
18162855,https://www.propertyguru.com.sg/listing/18162855,Parc Rosewood,535000,NEGOTIABLE,1,1,431,1241.3,Rosewood Drive 737800 Admiralty / Woodlands (D25),https://www.google.com/maps/search/Rosewood+Drive+737800+Admiralty+/+Woodlands+(D25),D25,13 mins (940 m) to TE3 Woodlands South MRT / 13 mins (980 m) to TE2 Woodlands MRT,Partially Furnished,2014,Middle Floor,No,,Air-Conditioning / Balcony / Bombshelter / Cooker Hob/Hood / Dryer / Fridge / Intercom / Oven / Microwave / Swimming Pool View / Renovated / Washing Machine / Water Heater,401250,133750,1.5 %,1483,1385,895,489,1560.0,0.03,175.0,True
23452581,https://www.propertyguru.com.sg/listing/23452581,Prestige Loft,540000,NEGOTIABLE,1,1,366,1475.41,286 Telok Kurau Road 423911 East Coast / Marine Parade (D15),https://www.google.com/maps/search/286+Telok+Kurau+Road+423911+East+Coast+/+Marine+Parade+(D15),D15,8 mins (620 m) to TE27 Marine Terrace MRT,Fully Furnished,2013,High Floor,"Until 8 Oct, 2021",S$ 220.00 /mo,Barbeque Area / Fitness corner / Playground,405000,135000,1.5 %,1497,1398,904,494,1650.0,0.04,252.0,True
23430515,https://www.propertyguru.com.sg/listing/23430515,Parc Rosewood,548000,,1,1,437,1254.0,Rosewood Drive 737800 Admiralty / Woodlands (D25),https://www.google.com/maps/search/Rosewood+Drive+737800+Admiralty+/+Woodlands+(D25),D25,13 mins (940 m) to TE3 Woodlands South MRT / 13 mins (980 m) to TE2 Woodlands MRT,Fully Furnished,2014,Low Floor,"Until 17 Aug, 2021",,Air-Conditioning / Balcony / Bed / Dining Room Furniture / Dishwasher / Dryer / Fridge / Oven / Microwave / Washing Machine,411000,137000,1.5 %,1519,1418,917,501,1560.0,0.03,142.0,True
23214630,https://www.propertyguru.com.sg/listing/23214630,Parc Rosewood,548000,NEGOTIABLE,1,1,430,1274.42,Rosewood Drive 737800 Admiralty / Woodlands (D25),https://www.google.com/maps/search/Rosewood+Drive+737800+Admiralty+/+Woodlands+(D25),D25,13 mins (940 m) to TE3 Woodlands South MRT / 13 mins (980 m) to TE2 Woodlands MRT,Partially Furnished,2014,Middle Floor,"Until 17 Aug, 2021",S$ 220.00 /mo,Air-Conditioning / Balcony / Bed / Cooker Hob/Hood / Fridge / High Floor / Living Room Furniture / Oven / Microwave / Swimming Pool View / Renovated / Walk-in-wardrobe / Washing Machine / Water Heater,411000,137000,1.5 %,1519,1418,917,501,1560.0,0.03,142.0,True
23525090,https://www.propertyguru.com.sg/listing/23525090,Parc Rosewood,548000,NEGOTIABLE,1,1,431,1271.46,Rosewood Drive 737800 Admiralty / Woodlands (D25),https://www.google.com/maps/search/Rosewood+Drive+737800+Admiralty+/+Woodlands+(D25),D25,13 mins (940 m) to TE3 Woodlands South MRT / 13 mins (980 m) to TE2 Woodlands MRT,Fully Furnished,2014,Middle Floor,No,,Air-Conditioning / Fridge / Park / Greenery View / Washing Machine,411000,137000,1.5 %,1519,1418,917,501,1560.0,0.03,142.0,True
23104560,https://www.propertyguru.com.sg/listing/23104560,Parc Rosewood,550000,VIEW TO OFFER,1,1,431,1276.1,Rosewood Drive 737800 Admiralty / Woodlands (D25),https://www.google.com/maps/search/Rosewood+Drive+737800+Admiralty+/+Woodlands+(D25),D25,13 mins (940 m) to TE3 Woodlands South MRT / 13 mins (980 m) to TE2 Woodlands MRT,Fully Furnished,2014,Low Floor,No,S$ 200.00 /mo,Air-Conditioning / Balcony / Bombshelter / Cooker Hob/Hood / Corner Unit / Park / Greenery View / Intercom / Renovated / Water Heater,412500,137500,1.5 %,1525,1424,921,503,1560.0,0.03,136.0,True
23598388,https://www.propertyguru.com.sg/listing/23598388,Parc Rosewood,568000,NEGOTIABLE,1,1,431,1317.87,Rosewood Drive 737800 Admiralty / Woodlands (D25),https://www.google.com/maps/search/Rosewood+Drive+737800+Admiralty+/+Woodlands+(D25),D25,13 mins (940 m) to TE3 Woodlands South MRT / 13 mins (980 m) to TE2 Woodlands MRT,Partially Furnished,2014,Middle Floor,No,S$ 220.00 /mo,Air-Conditioning / Water Heater,426000,142000,1.5 %,1575,1470,951,520,1560.0,0.03,90.0,True
19143152,https://www.propertyguru.com.sg/listing/19143152,Palm Isles,580000,VIEW TO OFFER,1,1,517,1121.86,32 Flora Drive 506892 Changi Airport / Changi Village (D17),https://www.google.com/maps/search/32+Flora+Drive+506892+Changi+Airport+/+Changi+Village+(D17),D17,13 mins (970 m) to DT33 Tampines East MRT,Partially Furnished,2015,High Floor,No,S$ 0.00 /mo,Air-Conditioning / Balcony / Cooker Hob/Hood / Dryer / Fridge / High Floor / Intercom / Oven / Microwave / Swimming Pool View / Renovated / Washing Machine / Water Heater,435000,145000,1.5 %,1608,1501,971,531,1700.4,0.04,199.4000000000001,True
23449826,https://www.propertyguru.com.sg/listing/23449826,Palm Isles,580000,STARTING FROM,1,1,506,1146.25,38 Flora Drive 506895 Changi Airport / Changi Village (D17),https://www.google.com/maps/search/38+Flora+Drive+506895+Changi+Airport+/+Changi+Village+(D17),D17,13 mins (950 m) to DT33 Tampines East MRT,Fully Furnished,2015,Middle Floor,"Until 24 Aug, 2022",,Air-Conditioning,435000,145000,1.5 %,1608,1501,971,531,1700.4,0.04,199.4000000000001,True
20927086,https://www.propertyguru.com.sg/listing/20927086,Palm Isles,588888,VIEW TO OFFER,1,1,506,1163.81,32 Flora Drive 506892 Changi Airport / Changi Village (D17),https://www.google.com/maps/search/32+Flora+Drive+506892+Changi+Airport+/+Changi+Village+(D17),D17,13 mins (970 m) to DT33 Tampines East MRT,Fully Furnished,2015,Middle Floor,No,,Air-Conditioning / Balcony / Cooker Hob/Hood / Intercom / Renovated / Water Heater,441666,147222,1.5 %,1632,1524,986,539,1700.4,0.03,176.4000000000001,True
23610776,https://www.propertyguru.com.sg/listing/23610776,Palm Isles,590000,NEGOTIABLE,1,1,517,1141.2,38 Flora Drive 506895 Changi Airport / Changi Village (D17),https://www.google.com/maps/search/38+Flora+Drive+506895+Changi+Airport+/+Changi+Village+(D17),D17,13 mins (950 m) to DT33 Tampines East MRT,Partially Furnished,2015,High Floor,"Until 31 Aug, 2021",,Air-Conditioning / Balcony / Cooker Hob/Hood / Fridge / Renovated / Washing Machine / Water Heater,442500,147500,1.5 %,1636,1527,988,540,1700.4,0.03,173.4000000000001,True
23396838,https://www.propertyguru.com.sg/listing/23396838,Stratum,590000,NEGOTIABLE,1,1,474,1244.73,106 Elias Road 519958 Pasir Ris / Tampines (D18),https://www.google.com/maps/search/106+Elias+Road+519958+Pasir+Ris+/+Tampines+(D18),D18,7 mins (560 m) to CP2 Elias MRT,Partially Furnished,2016,Low Floor,"Until 20 Jan, 2022",,Air-Conditioning / Balcony / Corner Unit / Fridge / Low Floor / Original Condition / Washing Machine,442500,147500,1.5 %,1636,1527,988,540,1710.0,0.03,183.0,True
23611840,https://www.propertyguru.com.sg/listing/23611840,Ripple Bay,595000,NEGOTIABLE,1,1,484,1229.34,4 Pasir Ris Link 518160 Pasir Ris / Tampines (D18),https://www.google.com/maps/search/4+Pasir+Ris+Link+518160+Pasir+Ris+/+Tampines+(D18),D18,13 mins (980 m) to CR4 Pasir Ris East MRT,Fully Furnished,2016,High Floor,"Until 21 Aug, 2021",,Air-Conditioning / Balcony / Bed / City View / Cooker Hob/Hood / Dining Room Furniture / Fridge / Park / Greenery View / High Floor / Intercom / Living Room Furniture / Original Condition / Oven / Microwave / Renovated / Television / Washing Machine / Water Heater,446250,148750,1.5 %,1649,1540,996,544,1790.0,0.04,250.0,True
23534734,https://www.propertyguru.com.sg/listing/23534734,iSuites @ Marshall,598000,NEGOTIABLE,1,1,355,1684.51,99 Marshall Road 424894 East Coast / Marine Parade (D15),https://www.google.com/maps/search/99+Marshall+Road+424894+East+Coast+/+Marine+Parade+(D15),D15,9 mins (700 m) to TE26 Marine Parade MRT / 13 mins (950 m) to TE25 Tanjong Katong MRT,Fully Furnished,2012,High Floor,"Until 4 Aug, 2021",,Air-Conditioning / Bed / Fridge / Park / Greenery View / High Floor / Living Room Furniture / Renovated / Television / Washing Machine / Water Heater,448500,149500,1.5 %,1658,1548,1001,547,1820.0,0.04,272.0,True
23268064,https://www.propertyguru.com.sg/listing/23268064,EiS Residences,599888,STARTING FROM,1,1,420,1428.3,4 Haig Avenue 438859 East Coast / Marine Parade (D15),https://www.google.com/maps/search/4+Haig+Avenue+438859+East+Coast+/+Marine+Parade+(D15),D15,12 mins (870 m) to TE26 Marine Parade MRT / 13 mins (980 m) to TE25 Tanjong Katong MRT,Fully Furnished,2013,Low Floor,No,,Barbeque Area / Swimming pool,449916,149972,1.5 %,1663,1553,1004,549,1703.0,0.03,150.0,True
22672009,https://www.propertyguru.com.sg/listing/22672009,Eight Courtyards,600000,STARTING FROM,1,1,452,1327.43,2 Canberra Drive 768138 Sembawang / Yishun (D27),https://www.google.com/maps/search/2+Canberra+Drive+768138+Sembawang+/+Yishun+(D27),D27,7 mins (520 m) to NS12 Canberra MRT,,2014,Middle Floor,No,S$ 0.00 /mo,Air-Conditioning / Cooker Hob/Hood / Corner Unit / Park / Greenery View / Renovated / Water Heater,450000,150000,1.5 %,1663,1553,1004,549,2010.0,0.04,457.0,True
20763754,https://www.propertyguru.com.sg/listing/20763754,Haig 162,600000,STARTING FROM,1,1,355,1690.14,162 Haig Road 438773 East Coast / Marine Parade (D15),https://www.google.com/maps/search/162+Haig+Road+438773+East+Coast+/+Marine+Parade+(D15),D15,11 mins (810 m) to TE25 Tanjong Katong MRT / 11 mins (850 m) to TE26 Marine Parade MRT,Partially Furnished,2013,High Floor,"Until 1 Feb, 2022",,Air-Conditioning / Bed / City View / Cooker Hob/Hood / Dryer / Fridge / Garage / Park / Greenery View / High Floor / Intercom / Living Room Furniture / Oven / Microwave / Television / Washing Machine / Water Heater,450000,150000,1.5 %,1663,1553,1004,549,1920.0,0.04,367.0,True
23462559,https://www.propertyguru.com.sg/listing/23462559,River Isles,605000,,1,1,441,1371.88,60 Edgedale Plains 828729 Hougang / Punggol / Sengkang (D19),https://www.google.com/maps/search/60+Edgedale+Plains+828729+Hougang+/+Punggol+/+Sengkang+(D19),D19,5 mins (410 m) to PE3 Coral Edge LRT / 6 mins (420 m) to PE2 Meridian LRT / 6 mins (480 m) to PE5 Kadaloor LRT,,2016,High Floor,No,,Air-Conditioning / Balcony / Cooker Hob/Hood / Corner Unit / Park / Greenery View / High Floor / Renovated,453750,151250,1.5 %,1677,1566,1013,553,2535.0,0.05,969.0,True
23362240,https://www.propertyguru.com.sg/listing/23362240,Suites @ Owen,608000,VIEW TO OFFER,1,1,366,1661.2,122 Owen Road 218926 Farrer Park / Serangoon Rd (D08),https://www.google.com/maps/search/122+Owen+Road+218926+Farrer+Park+/+Serangoon+Rd+(D08),D08,4 mins (270 m) to NE8 Farrer Park MRT / 13 mins (950 m) to DT12/NE7 Little India MRT / 13 mins (990 m) to DT22 Jalan Besar MRT,,2011,Low Floor,"Until 1 Oct, 2021",S$ 230.00 /mo,Air-Conditioning / Intercom,456000,152000,1.5 %,1685,1574,1018,556,2250.0,0.04,676.0,True
23342791,https://www.propertyguru.com.sg/listing/23342791,Haig 162,608888,VIEW TO OFFER,1,1,365,1668.19,162 Haig Road 438773 East Coast / Marine Parade (D15),https://www.google.com/maps/search/162+Haig+Road+438773+East+Coast+/+Marine+Parade+(D15),D15,11 mins (810 m) to TE25 Tanjong Katong MRT / 11 mins (850 m) to TE26 Marine Parade MRT,Partially Furnished,2013,Middle Floor,"Until 2 Jan, 2022",,Air-Conditioning / Balcony / Bombshelter / City View / Cooker Hob/Hood / Park / Greenery View / Renovated / Water Heater,456666,152222,1.5 %,1688,1576,1019,557,1920.0,0.04,344.0,True
23315306,https://www.propertyguru.com.sg/listing/23315306,Haig 162,614880,,1,1,365,1684.6,162 Haig Road 438773 East Coast / Marine Parade (D15),https://www.google.com/maps/search/162+Haig+Road+438773+East+Coast+/+Marine+Parade+(D15),D15,11 mins (810 m) to TE25 Tanjong Katong MRT / 11 mins (850 m) to TE26 Marine Parade MRT,Fully Furnished,2013,High Floor,No,,Barbeque Area / Gymnasium room / Jacuzzi / Lap pool,461160,153720,1.5 %,1705,1592,1029,562,1920.0,0.04,328.0,True
21803514,https://www.propertyguru.com.sg/listing/21803514,Haig 162,615000,VIEW TO OFFER,1,1,365,1684.93,162 Haig Road 438773 East Coast / Marine Parade (D15),https://www.google.com/maps/search/162+Haig+Road+438773+East+Coast+/+Marine+Parade+(D15),D15,11 mins (810 m) to TE25 Tanjong Katong MRT / 11 mins (850 m) to TE26 Marine Parade MRT,Partially Furnished,2013,High Floor,No,,Air-Conditioning / Balcony / Bombshelter / Cooker Hob/Hood / Fridge / High Floor / Intercom / Washing Machine / Water Heater,461250,153750,1.5 %,1705,1592,1029,563,1920.0,0.04,328.0,True
23235604,https://www.propertyguru.com.sg/listing/23235604,The Cotz,615000,STARTING FROM,1,1,409,1503.67,171 Telok Kurau Road 423824 East Coast / Marine Parade (D15),https://www.google.com/maps/search/171+Telok+Kurau+Road+423824+East+Coast+/+Marine+Parade+(D15),D15,12 mins (890 m) to EW6 Kembangan MRT / 12 mins (930 m) to TE27 Marine Terrace MRT,Partially Furnished,2012,High Floor,No,,Air-Conditioning / Balcony / Bathtub / Bombshelter / City View / Corner Unit,461250,153750,1.5 %,1705,1592,1029,563,1790.0,0.03,198.0,True
23527783,https://www.propertyguru.com.sg/listing/23527783,Ripple Bay,618000,NEGOTIABLE,1,1,484,1276.86,4 Pasir Ris Link 518160 Pasir Ris / Tampines (D18),https://www.google.com/maps/search/4+Pasir+Ris+Link+518160+Pasir+Ris+/+Tampines+(D18),D18,13 mins (980 m) to CR4 Pasir Ris East MRT,Partially Furnished,2016,Low Floor,"Until 19 Jun, 2022",,Basement car park / Clubhouse / Swimming pool / Tennis courts,463500,154500,1.5 %,1713,1600,1034,565,1790.0,0.03,190.0,True
23437340,https://www.propertyguru.com.sg/listing/23437340,The Vue,618888,VIEW TO OFFER,1,1,431,1435.94,355 Upper Paya Lebar Road 534958 Hougang / Punggol / Sengkang (D19),https://www.google.com/maps/search/355+Upper+Paya+Lebar+Road+534958+Hougang+/+Punggol+/+Sengkang+(D19),D19,6 mins (480 m) to CC12 Bartley MRT / 11 mins (790 m) to CC13/NE12 Serangoon MRT,Unfurnished,2014,Middle Floor,No,S$ 200.00 /mo,Air-Conditioning / Balcony,464166,154722,1.5 %,1716,1602,1036,566,1655.0,0.03,53.0,True
23540376,https://www.propertyguru.com.sg/listing/23540376,The Vue,620000,NEGOTIABLE,1,1,430,1441.86,355 Upper Paya Lebar Road 534958 Hougang / Punggol / Sengkang (D19),https://www.google.com/maps/search/355+Upper+Paya+Lebar+Road+534958+Hougang+/+Punggol+/+Sengkang+(D19),D19,6 mins (480 m) to CC12 Bartley MRT / 11 mins (790 m) to CC13/NE12 Serangoon MRT,Fully Furnished,2014,High Floor,"Until 31 Jan, 2023",,Barbeque Area / Gymnasium room / Playground / Swimming pool,465000,155000,1.5 %,1719,1605,1038,567,1655.0,0.03,50.0,True
23468301,https://www.propertyguru.com.sg/listing/23468301,Seastrand,620000,STARTING FROM,1,1,570,1087.72,17 Pasir Ris Link 518183 Pasir Ris / Tampines (D18),https://www.google.com/maps/search/17+Pasir+Ris+Link+518183+Pasir+Ris+/+Tampines+(D18),D18,13 mins (950 m) to CR4 Pasir Ris East MRT,,2014,High Floor,No,,Air-Conditioning / Balcony / High Floor / Intercom / Renovated,465000,155000,1.5 %,1719,1605,1038,567,1860.0,0.04,255.0,True
23478045,https://www.propertyguru.com.sg/listing/23478045,Seastrand,620000,STARTING FROM,1,1,570,1087.72,17 Pasir Ris Link 518183 Pasir Ris / Tampines (D18),https://www.google.com/maps/search/17+Pasir+Ris+Link+518183+Pasir+Ris+/+Tampines+(D18),D18,13 mins (950 m) to CR4 Pasir Ris East MRT,,2014,High Floor,No,,Air-Conditioning / Balcony / High Floor / Intercom / Renovated,465000,155000,1.5 %,1719,1605,1038,567,1860.0,0.04,255.0,True
23109148,https://www.propertyguru.com.sg/listing/23109148,Suites @ Paya Lebar,620000,VIEW TO OFFER,1,1,398,1557.79,420 Upper Paya Lebar Road 534049 Hougang / Punggol / Sengkang (D19),https://www.google.com/maps/search/420+Upper+Paya+Lebar+Road+534049+Hougang+/+Punggol+/+Sengkang+(D19),D19,10 mins (760 m) to CC13/NE12 Serangoon MRT / 11 mins (850 m) to CC12 Bartley MRT,Fully Furnished,2014,Middle Floor,"Until 22 Dec, 2022",S$ 200.00 /mo,Air-Conditioning / Balcony / Bed / Cooker Hob/Hood / Dining Room Furniture / Park / Greenery View / Intercom / Iron / Ironing Board / Living Room Furniture / Oven / Microwave / Television / Washing Machine / Water Heater,465000,155000,1.5 %,1719,1605,1038,567,1785.0,0.03,180.0,True
23618672,https://www.propertyguru.com.sg/listing/23618672,Race Course 138,620000,NEGOTIABLE,1,1,420,1476.19,138 Race Course Road 218591 Farrer Park / Serangoon Rd (D08),https://www.google.com/maps/search/138+Race+Course+Road+218591+Farrer+Park+/+Serangoon+Rd+(D08),D08,6 mins (420 m) to NE8 Farrer Park MRT / 7 mins (510 m) to DT12/NE7 Little India MRT / 8 mins (590 m) to DT22 Jalan Besar MRT,Fully Furnished,2004,High Floor,No,,Air-Conditioning / Bed / City View / Fridge / High Floor / Living Room Furniture / Television / Washing Machine / Water Heater,465000,155000,1.5 %,1719,1605,1038,567,1995.0,0.04,390.0,True
22075634,https://www.propertyguru.com.sg/listing/22075634,Vibes @ Upper Serangoon,620000,NEGOTIABLE,1,1,430,1441.86,488 Upper Serangoon Road 534519 Hougang / Punggol / Sengkang (D19),https://www.google.com/maps/search/488+Upper+Serangoon+Road+534519+Hougang+/+Punggol+/+Sengkang+(D19),D19,8 mins (620 m) to CC13/NE12 Serangoon MRT / 8 mins (630 m) to NE11 Woodleigh MRT / 13 mins (970 m) to CC12 Bartley MRT,Partially Furnished,2016,Low Floor,No,,,465000,155000,1.5 %,1719,1605,1038,567,1835.0,0.04,230.0,True
23122074,https://www.propertyguru.com.sg/listing/23122074,East Village,620000,NEGOTIABLE,1,1,409,1515.89,430 Upper Changi Road 487048 Bedok / Upper East Coast (D16),https://www.google.com/maps/search/430+Upper+Changi+Road+487048+Bedok+/+Upper+East+Coast+(D16),D16,7 mins (520 m) to CG/EW4 Tanah Merah MRT,Partially Furnished,2014,High Floor,No,,Air-Conditioning / Balcony / Bed / Bombshelter / Cooker Hob/Hood / Corner Unit / Fridge / High Floor / Intercom / Living Room Furniture / Washing Machine / Water Heater,465000,155000,1.5 %,1719,1605,1038,567,1833.0,0.04,228.0,True
23276108,https://www.propertyguru.com.sg/listing/23276108,The Vue,620000,STARTING FROM,1,1,430,1441.86,355 Upper Paya Lebar Road 534958 Hougang / Punggol / Sengkang (D19),https://www.google.com/maps/search/355+Upper+Paya+Lebar+Road+534958+Hougang+/+Punggol+/+Sengkang+(D19),D19,6 mins (480 m) to CC12 Bartley MRT / 11 mins (790 m) to CC13/NE12 Serangoon MRT,Partially Furnished,2014,Middle Floor,No,,Barbeque Area / Gymnasium room / Playground / Swimming pool,465000,155000,1.5 %,1719,1605,1038,567,1655.0,0.03,50.0,True
23526188,https://www.propertyguru.com.sg/listing/23526188,Haig 162,620000,NEGOTIABLE,1,1,366,1693.99,162 Haig Road 438773 East Coast / Marine Parade (D15),https://www.google.com/maps/search/162+Haig+Road+438773+East+Coast+/+Marine+Parade+(D15),D15,11 mins (810 m) to TE25 Tanjong Katong MRT / 11 mins (850 m) to TE26 Marine Parade MRT,Partially Furnished,2013,Middle Floor,"Until 29 May, 2021",,Air-Conditioning / Balcony / Washing Machine / Water Heater,465000,155000,1.5 %,1719,1605,1038,567,1920.0,0.04,315.0,True
